INDEX,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN,AVG. UPDATES PER MIN
60,19402.9850746269,14338.2352941176,15694.1649899396,23008.8495575221,21940.9282700422,14942.5287356322
61,10684.9315068493,14285.7142857143,16846.6522678186,16016.4271047228,15234.375,16082.4742268041
62,12956.8106312292,18932.0388349515,17488.7892376682,17294.9002217295,15805.4711246201,11411.8507681053
63,12828.9473684211,16738.1974248927,13541.6666666667,19402.9850746269,14130.4347826087,13541.6666666667
64,19117.6470588235,17889.9082568807,14028.7769784173,28158.844765343,15145.6310679612,17972.3502304147
65,13043.4782608696,15294.1176470588,12187.5,21195.652173913,22840.4099560761,16216.2162162162
66,12341.7721518987,19402.9850746269,16774.1935483871,25080.38585209,18932.0388349515,19822.1092757306
67,13402.0618556701,18840.5797101449,24528.3018867925,17105.2631578947,18160.6519208382,17469.2049272116
68,16956.5217391304,14285.7142857143,18978.102189781,17567.5675675676,17587.373167982,21606.648199446
69,18660.2870813397,12913.9072847682,19746.835443038,23493.9759036145,18013.856812933,15885.9470468432
70,13978.4946236559,17889.9082568807,20207.2538860104,36966.8246445498,17910.447761194,22285.7142857143
71,11174.7851002865,19117.6470588235,12600.9693053312,28571.4285714286,17469.2049272116,20445.6094364351
72,14661.6541353383,19024.3902439024,19548.8721804511,19500,21971.8309859155,15967.2466734903
73,12187.5,20000,21311.4754098361,21971.8309859155,22349.5702005731,15028.901734104
74,12302.8391167192,19024.3902439024,15600,15204.6783625731,17410.7142857143,15615.6156156156
75,10743.8016528926,18660.2870813397,16810.3448275862,14285.7142857143,21576.7634854772,17567.5675675676
76,17333.3333333333,16666.6666666667,14104.8824593128,21195.652173913,19188.1918819188,14814.8148148148
77,13978.4946236559,16956.5217391304,13565.2173913043,16560.5095541401,20259.7402597403,19427.1481942715
78,17256.6371681416,12786.8852459016,19164.6191646192,19117.6470588235,22941.1764705882,17687.074829932
79,16595.7446808511,14828.897338403,17889.9082568807,17848.9702517162,15145.6310679612,16702.3554603854
80,17727.2727272727,19597.9899497487,14661.6541353383,20312.5,13.7125,4.025
81,15476.1904761905,19597.9899497487,15789.4736842105,20365.5352480418,12.5555555556,2.8518518519
82,16810.3448275862,16250,18795.1807228916,18097.4477958237,8.3048780488,5.3170731707
83,15234.375,18840.5797101449,31578.947368421,23853.2110091743,0.6746987952,3.7469879518
84,18750,18750,17528.0898876405,26440.6779661017,11.9047619048,1.5952380952
85,17180.6167400881,17410.7142857143,14913.9579349904,27464.7887323944,8.4823529412,1.2117647059
86,11174.7851002865,14233.5766423358,15415.0197628459,19070.9046454768,4.523255814,4.8139534884
87,13043.4782608696,19211.8226600985,16352.2012578616,20911.528150134,11.8620689655,4.6551724138
88,11016.9491525424,5668.6046511628,19259.2592592593,15057.9150579151,4.3409090909,6.3409090909
89,11818.1818181818,10427.807486631,17607.223476298,19647.355163728,9.606741573,6.1573033708
90,13000,15600,18396.2264150943,19548.8721804511,5.0444444444,4.9111111111
91,19211.8226600985,13448.275862069,19354.8387096774,17030.5676855895,0.8241758242,8.4835164835
92,16317.9916317992,11538.4615384615,26262.6262626263,19548.8721804511,2.1304347826,6.1304347826
93,14606.7415730337,20000,19306.9306930693,23423.4234234234,3.2795698925,2.7419354839
94,16455.6962025316,16386.5546218487,15116.2790697674,15600,3.8085106383,11.1276595745
95,18483.4123222749,19306.9306930693,19451.3715710723,17142.8571428571,5.2526315789,6.4631578947
96,14233.5766423358,19597.9899497487,16490.4862579281,22159.0909090909,4,4.28125
97,16883.1168831169,18660.2870813397,13805.3097345133,20259.7402597403,13.7835051546,1.8144329897
98,15725.8064516129,18660.2870813397,20689.6551724138,18978.102189781,2.8163265306,2.6428571429
99,14772.7272727273,14181.8181818182,18978.102189781,22033.8983050847,2.2121212121,3.0101010101
